num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,24.754,28.846,3.335,3.334,33354
2,22.658,20.322,3.474,3.382,36824
3,24.916,20.044,4.162,6.464,39628
4,25.698,18.416,5.428,12.176,42432
5,23.446,13.451,5.408,12.111,44122
6,25.206,13.429,6.057,15.245,46482
8,28.363,13.519,7.460,20.203,52400
10,30.697,13.149,9.538,25.490,56104
12,32.260,12.802,9.663,26.629,59082
16,34.479,12.478,9.505,27.009,64974
20,33.324,10.863,10.101,27.866,69670
25,31.846,9.216,9.007,27.750,72894
30,32.479,9.072,8.407,27.060,77836
