num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,22.218,27.612,3.272,3.324,31292
2,17.552,17.387,3.343,3.345,32788
3,21.326,17.253,4.098,6.495,35106
4,22.560,15.941,7.573,11.797,37836
5,18.802,10.668,5.368,11.908,38900
6,21.735,10.678,6.600,14.338,41652
7,23.711,10.535,7.393,16.165,45570
8,26.007,10.677,8.755,19.338,48522
9,27.600,10.512,8.796,23.307,52342
10,28.352,10.483,8.905,23.511,54724
11,29.255,10.387,8.324,23.760,57550
12,29.358,10.356,7.309,23.003,61052
13,29.512,10.181,6.741,22.089,64376
14,29.755,10.093,6.958,22.244,66452
15,29.944,10.092,6.566,21.149,69408
16,30.118,10.060,6.460,22.243,71636
17,30.311,10.041,6.419,22.550,73720
18,29.896,9.982,6.176,22.501,75570
19,29.176,9.353,6.101,22.571,76496
20,29.435,9.410,6.136,23.050,77698
21,29.335,9.613,5.827,22.248,78008
22,28.833,9.188,5.660,22.740,79194
23,28.936,9.212,5.625,22.476,79864
24,29.253,9.210,5.726,22.543,81850
25,28.460,8.794,5.099,22.156,82670
26,28.622,8.918,5.027,22.229,82906
27,28.833,8.949,5.067,22.256,83554
28,29.090,9.006,5.064,22.492,84570
29,29.234,9.054,5.025,22.032,85858
30,29.403,9.071,5.027,22.282,87186
