num_depth,chamfer_mm,pocket_completeness_mm,smooth_completeness_mm,smooth_accuracy_mm,nverts
1,21.856,26.910,3.361,3.411,30994
2,16.555,15.962,3.456,3.474,32116
3,20.682,15.853,4.418,6.688,34310
4,22.539,14.677,8.982,12.527,37116
5,18.001,9.053,5.993,12.126,38042
6,21.163,9.109,7.432,14.616,40990
7,22.749,9.077,7.315,15.893,45194
8,25.054,9.253,8.299,18.829,48652
9,26.266,9.186,8.640,21.764,52716
10,27.075,9.241,8.148,21.800,55260
11,27.623,9.156,7.280,22.047,58466
12,27.897,9.289,6.227,21.774,61934
13,28.283,9.210,5.802,20.915,65224
14,28.431,9.125,6.015,21.374,67494
15,28.900,9.199,5.874,20.992,70588
16,29.225,9.243,5.664,22.029,72572
17,29.525,9.344,5.633,22.496,74614
18,29.381,9.469,5.502,22.565,76324
19,28.868,9.079,5.321,22.505,76928
20,29.130,9.169,5.360,22.604,77908
21,29.016,9.409,5.244,22.700,78390
22,28.615,9.138,5.122,22.090,79396
23,28.817,9.292,5.128,22.388,79962
24,29.264,9.282,5.154,22.576,81686
25,28.836,8.876,4.931,22.154,82168
26,28.795,9.188,4.926,22.356,82188
27,29.116,9.230,4.925,22.186,82754
28,29.385,9.248,4.918,22.316,83774
29,29.506,9.279,4.950,22.338,85040
30,29.669,9.334,4.978,22.853,86318
